id,section,order,name_es,name_ca,name_en,desc_es,desc_ca,desc_en,price,price2,mark,active
eggplant,share,11,Berenjena rebozada,Albergínia arrebossada,Breaded aubergine,"Con crema de burrata, salsa napolitana, pesto de pistachos y criolla con jalapeños.","Amb crema de burrata, salsa napolitana, pesto de festucs i criolla amb jalapeños.","With burrata cream, napolitana sauce, pistachio pesto and jalapeño criolla.","10,9",,,TRUE
colita,grill,12,Colita de cuadril,Colita de quadril,Rump tail,300 gr de culatín de ternera Black Angus de Nebraska. Corte típico argentino a la parrilla.,300 gr de culató de vedella Black Angus de Nebraska. Tall típic argentí a la graella.,300 g Nebraska Black Angus culotte. Classic Argentine grill cut.,23,,*,TRUE
entraña,grill,13,Entraña,Entraña,Skirt steak,Corte típico argentino a la parrilla.,Tall típic argentí a la graella.,Classic Argentine grill cut.,"18,3",,*,TRUE
lomo,grill,14,Lomo bajo,Llom baix,Sirloin,420 gr de lomo bajo gallego.,420 gr de llom baix gallec.,420 g Galician sirloin.,"25,9",,*,TRUE
ribeye,grill,15,Rib eye,Rib eye,Rib eye,350 gr de ojo de bife argentino.,350 gr d'ull de bif argentí.,350 g Argentine rib eye.,29,,*,TRUE
napolitana,milanese,16,La napolitana,La napolitana,La napolitana,"Con provolone, mozzarella, jamón dulce, tomate y orégano.","Amb provolone, mozzarella, pernil dolç, tomàquet i orenga.","With provolone, mozzarella, sweet ham, tomato and oregano.","17,5",,*,TRUE
especial,milanese,17,La especial,L'especial,La especial,"Con prosciutto, rúcula, parmesano y tomate seco.","Amb prosciutto, rúcula, parmesà i tomàquet sec.","With prosciutto, rocket, parmesan and sun-dried tomato.",16,,*,TRUE
caballo,milanese,18,A caballo,A cavall,A caballo,Con dos huevos fritos.,Amb dos ous fregits.,With two fried eggs.,"15,9",,*,TRUE
provoloneBurger,milanese,19,Provolone crujiente,Provolone cruixent,Crispy provolone,"Doble smash con provolone crujiente a la plancha, cebolla caramelizada y nuestra Cacho salsa picante.","Doble smash amb provolone cruixent a la planxa, ceba caramel·litzada i la nostra salsa picant Cacho.","Double smash with crispy grilled provolone, caramelised onion and our spicy Cacho sauce.","14,6",,,TRUE
picante,milanese,20,La picante,La picant,La picante,"Doble smash con cebolla y queso cheddar, salsa de jalapeño y huevo a la plancha.","Doble smash amb ceba i cheddar, salsa de jalapeño i ou a la planxa.","Double smash with onion and cheddar, jalapeño sauce and fried egg.","13,9",,,TRUE
portobello,milanese,21,Veggie portobello,Veggie portobello,Veggie portobello,"Portobello confitado, queso cheddar, aguacate, rúcula, cebolla encurtida y salsa de mango chili.","Portobello confitat, cheddar, alvocat, rúcula, ceba encurtida i salsa de mango chili.","Confit portobello, cheddar, avocado, rocket, pickled onion and mango chili sauce.","12,7",,,TRUE
clasica,milanese,22,La clásica,La clàssica,La clásica,"Doble smash con queso, tomate, lechuga, pepinillo, mostaza y mayonesa.","Doble smash amb formatge, tomàquet, enciam, cogombre, mostassa i maionesa.","Double smash with cheese, tomato, lettuce, pickle, mustard and mayo.","13,2",,,TRUE
cheeseBacon,milanese,23,Cheese & bacon,Cheese & bacon,Cheese & bacon,"Bacon y queso cheddar, y nuestra Cacho salsa picante.","Bacon i cheddar, i la nostra salsa picant Cacho.",Bacon and cheddar with our spicy Cacho sauce.,"13,7",,,TRUE
club,sandwiches,24,Club sandwich,Club sandwich,Club sandwich,"Pollo marinado en achiote, huevo frito, queso cheddar blanco, tomate, lechuga, bacon y nuestra salsa picante.","Pollastre marinat en achiote, ou fregit, cheddar blanc, tomàquet, enciam, bacon i salsa picant.","Achiote-marinated chicken, fried egg, white cheddar, tomato, lettuce, bacon and spicy sauce.","12,5",,,TRUE
roastbeef,sandwiches,25,Roast beef,Roast beef,Roast beef,"Roast beef de Angus, con mostaza, pepinillos y queso cheddar blanco.","Roast beef d'Angus, amb mostassa, cogombres i cheddar blanc.","Angus roast beef with mustard, pickles and white cheddar.","12,3",,,TRUE
veggie,sandwiches,26,Vegetariano sin miedo,Vegetarià sense por,Fearless veggie,"Sandwich de tomate, espinacas, aguacate, manzana, remolacha con hummus o con queso cheddar blanco.","Sandwich de tomàquet, espinacs, alvocat, poma, remolatxa amb hummus o cheddar blanc.","Tomato, spinach, avocado, apple, beet sandwich with hummus or white cheddar.","9,5",,,TRUE
choripan,sandwiches,27,Choripán de la Bombonera,Xori-pan de la Bombonera,Bombonera choripán,"Chorizo criollo, lechuga, tomate y chimichurri.","Xoriço crioll, enciam, tomàquet i chimichurri.","Creole chorizo, lettuce, tomato and chimichurri.","8,3",,,TRUE
cheesecake,desserts,28,Tarta de queso,Pastís de formatge,Cheesecake,,,,"6,9",,,TRUE
tiramisu,desserts,29,Tiramisú de pistacho,Tiramisú de festuc,Pistachio tiramisu,,,,"4,9",,,TRUE
tatin,desserts,30,Tarta tatin,Tarta tatin,Tatin tart,Chocolate con chips. Lima kéfir.,Xocolata amb chips. Llima kéfir.,Chocolate chips. Kefir lime.,"4,9",,*,TRUE
brownie,desserts,31,Brownie,Brownie,Brownie,,,,"4,9",,*,TRUE
icecream,desserts,32,Helados en tarrina,Gelats en tarrina,Ice cream tub,,,,"4,5",,,TRUE
